Test Case Description,Label
Brighten the screen,Device
change my brightness level to 2,Device
"Precondition: Have an app open. 
Close the app",Device
Could you turn this down a little bit,Device
current volume setting,Device
Decrease the screen's brightness a little.,Device
dim my screen,Device
dim my screen 80%,Device
display screen brightness,Device
"Precondition: Have an app open.
Exit the app",Device
get screen brightness,Device
go home,Device
Go to my apps,Device
go to sleep,Device
"Turn ON Camera
Expected:
TTS: I cant do that yet. Press the camera or Microphone button on your device to enable or disable your camera and Microphone",Device
Go to Superframe,Device
Go to the homescreen,Device
how bright is the screen,Device
how dim is the screen,Device
Increase brightness by 10%,Device
Increase the brightness.,Device
Lessen the brightness please.,Device
lower the brightness level by 3 levels,Device
Lower the screen brightness.,Device
make the screen less bright,Device
mute,Device
mute the microphone,Device
mute the sound,Device
Open Facebook Live,Device
open food network,Device
open frame,Device
Open homescreen,Device
open iHeart,Device
open iHeartRadio,Device
Open my Apps,Device
open news,Device
Open Newsy,Device
open Pandora,Device
open people,Device
Open Settings,Device
open spotify,Device
Open Superframe,Device
open videos,Device
open watch,Device
Please brighten the screen up,Device
Please increase the brightness some more,Device
"Precondition: Be in a call and turn OFF smart camera
please start smart camera",Device
Please turn up volume a little bit,Device
Put device to sleep,Device
Set brightness to level 10.,Device
screen brightness,Device
Set brightness to 100%,Device
Show me my superframe,Device
Show me the home screen,Device
show my favorites,Device
Sleep mode please,Device
softer,Device
turn down the brightness by 25%,Device
"Precondition: Be in a call and turn OFF smart camera
turn my smart camera on please",Device
"Precondition: Be in a call
turn off camera",Device
turn off device,Device
turn off microphone,Device
"Precondition: Be in a call
Turn off smart camera",Device
Turn off the volume,Device
turn on the microphone,Device
Turn the screen brightness down,Device
Turn up the brightness 90%.,Device
Turn up the volume,Device
Turn up volume to 9,Device
turn volume down to 4,Device
unmute,Device
what is the brightness,Device
what is the volume right now,Device
