Test Case Description,Label
lower the brightness level by 3 levels,Device
Lower the screen brightness.,Device
make the screen less bright,Device
mute,Device
mute the microphone,Device
mute the sound,Device
Open Facebook Live,Device
open food network,Device
open frame,Device
Open homescreen,Device
open iHeart,Device
open iHeartRadio,Device
Open my Apps,Device
open news,Device
Open Newsy,Device
open Pandora,Device
open people,Device
Open Settings,Device
open spotify,Device
Open Superframe,Device
open videos,Device
open watch,Device
Please brighten the screen up,Device
Please increase the brightness some more,Device
"
please start smart camera",Device
Please turn up volume a little bit,Device
Put device to sleep,Device
Set brightness to level 10.,Device
screen brightness,Device
Set brightness to 100%,Device
Show me my superframe,Device
Show me the home screen,Device
show my favorites,Device
Sleep mode please,Device
softer,Device
turn down the brightness by 25%,Device
"
turn my smart camera on please",Device
"
turn off camera",Device
turn off device,Device
turn off microphone,Device
"
Turn off smart camera",Device
Turn off the volume,Device
turn on the microphone,Device
Turn the screen brightness down,Device
Turn up the brightness 90%.,Device
Turn up the volume,Device
Turn up volume to 9,Device
turn volume down to 4,Device
unmute,Device
what is the brightness,Device
what is the volume right now,Device
How many carlories does butter have?,Wolfarm_food
How many calories are in two slices of bread?,Wolfarm_food
How many carlories are in three eggs?,Wolfarm_food
How many calories are in two slices of swiss cheese?,Wolfarm_food
How many calories are in a cup of orange juice?,Wolfarm_food
How many calories are in a cup of soda?,Wolfarm_food
How much fat should a person eat daily?,Wolfarm_food
How much protein should a person eat daily?,Wolfarm_food
How many calories are in lasagna?,Wolfarm_food
How many calories are in fried rice?,Wolfarm_food
When is Taylor's birthday?,Music_QA
When is Donald's birthday?,Music_QA
When is Joe's birthday?,Music_QA
When is Tom's birthday?,Music_QA
When is Adam's birthday?,Music_QA
When is John's birthday?,Music_QA
When is Elvis' birthday?,Music_QA
When is Cher's birthday?,Music_QA
When is Mozart's birthday?,Music_QA
When is Taylor Swift's birthday?,Music_QA
When is Donald Trump's birthday?,Music_QA
When is Joe Biden's birthday?,Music_QA
When is John Legend's birthday?,Music_QA
When is Adam Driver's birthday?,Music_QA
When was Elaine born?,Music_QA
When was the born?,Music_QA
When was horse born?,Music_QA
When was Mark Zuckerberg born?,Music_QA
When was popcorn born?,Music_QA
When was Prince born?,Music_QA
When was Usher born?,Music_QA
When was John Stick born?,Music_QA
When was Patrick Paul born?,Music_QA
When was Eminem born?,Music_QA
When was Avicii born?,Music_QA
When was Sting born?,Music_QA
When was The Undertaker born?,Music_QA
When was Dababy born?,Music_QA
When was Meat Loaf born?,Music_QA
When was Christian Moran born?,Music_QA
Show photos,Device
Portal is in Portrait Orientation,Device
Portal is in Landscape Orientation,Device
Show photos of water,Device
Show photos of Snakes,Device
"
 ""Play the podcast Literally! with Rob Lowe",Music
"
 ""Play the podcast This Past Weekend",Music
"
 ""Play the podcast This Past Weekend",Music
"
 ""Play Duolingo Spanish Podcast",Music
"
 ""Play the podcast Myths & Legends",Music
"
 ""Play Why Won't you Date Me? on iHeartRadio",Music
"
 ""Play the podcast Myths & Legends",Music
"
 ""Play the podcast Pivot on iHeartRadio",Music
"
 ""Play The Mindset Mentor",Music
"
 ""Play the podcast The Weeds",Music
"
 ""Play the podcast The Rubin Report",Music
"
 ""Play the podcast Pivot",Music
"
 ""Play the podcast Why Won't you Date Me?",Music
"
 ""Play the podcast Duolingo Spanish Podcast",Music
"
 ""Play the podcast Literally! with Rob Lowe",Music
"
 ""Play the podcast The Weeds",Music
"
 ""Play the podcast The Mindset Mentor",Music
"Factory reset device to play the following podcasts for the ""first time""",Music
"
 ""Play The Matt Walsh Show on iHeartRadio",Music
"
 ""Play This Past Weekend",Music
"
 ""Play Pivot",Music
"
 ""Play The Weeds",Music
"
 ""Play the podcast The Rubin Report",Music
"
 ""Play the podcast Why Won't you Date Me?",Music
"
 ""Play the podcast Duolingo Spanish Podcast",Music
"
 ""Play Literally! with Rob Lowe",Music
"
 begin screen reader",Screen_Reader
"
 start screen reader",Screen_Reader
"
 set up screen reader",Screen_Reader
"
 enable screen reader",Screen_Reader
"
 turn on screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 stop screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 end screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 exit screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 quit screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 disable screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn off screen reader",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn screen reader on",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn screen reader off",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 begin talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 start talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 set up talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 enable talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn on talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 stop talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 end talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 exit talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 quit talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 disable talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn off talk back",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn talk back on",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn talk back off",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 begin talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 start talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 set up talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 enable talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn on talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 stop talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 end talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 exit talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 quit talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 disable talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn off talkback",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn talkback on",Screen_Reader
"Pre-Conditions: Portal is on + portal is not muted 
 turn talkback off",Screen_Reader
Play iHeartRadio,Music
Turn off music,Music
"
Play some music""",Music
"Pause song""",Music
Resume music,Music
Pause the music,Music
Resume playing the song,Music
Stop the music,Music
Resume,Music
Stop this song,Music
Play,Music
Next song,Music
Play the next song please,Music
Skip this song,Music
Skip current track,Music
Previous song please,Music
Play the <Music Genre> Playlist,Music
Play <Artist>,Music
Play the album <Album: Dark side of the moon>,Music
Play <Track: Shake if off>,Music
Play <Album: Colors> by <Artist: Alabama Shakes>,Music
Play <Track: Gravity> by <Artist: John Mayer>,Music
Play <genre: Alternative Rock>,Music
Play <Playlist: 80s workout/Christmas Classical> playlist,Music
Play <genre> music,Music
Play <Live radio: 101.3/Wild 94.9/Kiss FM>,Music
Play some <ethnic> music,Music
Begin my workout playlist,Music
**Section four: Media controls.**,Music
Please put my current playlist on shuffle,Music
Like current song,Music
Dislike this song please,Music
"
What song is playing?",Music
Play Pandora,Music
"
**1.** - ""HP, Play some music""
",Music
"**2.** - ""HP, Pause song""
",Music
"**3.** - ""HP, Resume music""
",Music
"**5.** - ""HP, Resume playing the song""
",Music
"**6.** - ""HP, Stop the music""
",Music
"**7.** - ""HP, Resume""
",Music
"**8.** - ""HP, Stop this song""
",Music
"**9.** - ""HP, Play""
",Music
"**10.** - ""HP, Turn off music""
",Music
"**1.** - ""HP, Next song""
",Music
"**2.** - ""HP, Play the next song please""
",Music
"**3.** - ""HP, Skip this song""
",Music
"**4.** - ""HP, Skip current track""
",Music
"**5.** - ""HP, Play the last song again""
",Music
"**6.** - ""HP, Previous song please""
",Music
"**1.** - ""HP, Play the <Music Genre> Playlist""
",Music
"**2.** - ""Play <Artist>""
",Music
"**3.** - ""HP, Play me some <mood> music""

",Music
"**4.** - ""HP, Play some <genre>""
",Music
"**5.** - ""HP, Play <genre> music""
",Music
"**6.** - ""HP, Play me some <genre>""
",Music
"**7.** - ""HP, Play some <ethnic> music""
",Music
"**8.** - ""HP, Begin my workout playlist""
",Music
"**1.** - ""HP, Please put my current playlist on shuffle""
",Music
"**2.** - ""HP, Shuffle off""
",Music
"**3.** - ""HP, Play this playlist on shuffle""
",Music
"**4.** - ""HP, Switch shuffle off""
",Music
"**5.** - ""HP, Shuffle my playlist""
",Music
"**6.** - ""HP, Like current song""
",Music
"**7.** - ""HP, Dislike this song please.""
",Music
"
**1.** - ""HP, What song is playing?""
",Music
Play Pandora,Music
"
Play some music",Music
Pause song,Music
Resume music,Music
Pause the music,Music
Resume playing the song,Music
Stop the music,Music
Resume,Music
Stop this song,Music
Play,Music
Turn off music,Music
Next song,Music
Play the next song please,Music
Skip this song,Music
Skip current track,Music
Play the last song again,Music
Previous song please,Music
Play the <Music Genre> Playlist,Music
Play <Artist>,Music
Play me some <mood> music,Music
Play some <genre>,Music
Play <genre> music,Music
Play me some <genre>,Music
Play some <ethnic> music,Music
Begin my workout playlist,Music
Play this playlist on shuffle,Music
Switch shuffle off,Music
Like current song,Music
Dislike this song please.,Music
"
What song is playing?",Music
Play Spotify,Music
"
Play some music",Music
Pause song,Music
Resume music,Music
Pause the music,Music
Resume playing the song,Music
Stop the music,Music
Resume,Music
Stop this song,Music
Play,Music
Turn off music,Music
Next song,Music
Play the next song please,Music
Skip this song,Music
Skip current track,Music
Play the last song again,Music
Previous song please,Music
Play <Artist>,Music
"Play me some <mood> music""
",Music
"Play some <genre>
",Music
"Play <genre> musicExamples: 
",Music
"Play me some <genre>
",Music
"Play some <ethnic> music
",Music
Play <User_Playlist>,Music
Please put my current playlist on shuffle,Music
Shuffle off,Music
Play this playlist on shuffle,Music
Switch shuffle off,Music
Shuffle my playlist,Music
Like current song,Music
Dislike this song please.,Music
Loop on,Music
Loop off,Music
Turn repeat on,Music
Turn repeat off,Music
"
HP, What song is playing?""",Music
"
""HP, Pause""",Music
"
""HP, Resume""",Music
"
""HP, Go back""",Music
Play Spotify,Music
"
Play some music",Music
Pause song,Music
Resume music,Music
Pause the music,Music
Resume playing the song,Music
Stop the music,Music
Resume,Music
Stop this song,Music
Play,Music
Turn off music,Music
Next song,Music
Play the next song please,Music
Skip this song,Music
Skip current track,Music
Play the last song again,Music
Previous song please,Music
Play the <Music Genre> Playlist,Music
Play <Artist>,Music
Play some <genre>,Music
Play <genre> music,Music
Play me some <genre>,Music
"Play some <ethnic> music

",Music
Play <User_Playlist>,Music
Please put my current playlist on shuffle,Music
Shuffle off,Music
Switch shuffle off,Music
Shuffle my playlist,Music
Like current song,Music
Dislike this song please.,Music
Loop on,Music
Loop off,Music
Turn repeat on,Music
Turn repeat off,Music
"
What song is playing?",Music_QA
what instruments lady gaga plays,Music_QA
Where does lady gaga live?,Music_QA
what is lady gaga's full name,Music_QA
where did lana del rey study,Music_QA
where was ray charles born,Music_QA
what genre is brad paisleys album play,Music_QA
who is taylor swift's sister,Music_QA
what are some of ed sheeran's songs,Music_QA
where was ariana grande born,Music_QA
who is kanye west married to,Music_QA
how did elvis die,Music_QA
what are justin bieber's influences,Music_QA
what was bruno mars debut album,Music_QA
who was the lead singer of Aerosmith,Music_QA
who was the lead singer of the Ramones,Music_QA
how many albums has florence and the machine released,Music_QA
what year did jimi hendrix die,Music_QA
what genre of music does mumford and sons play,Music_QA
what are some albums by selena gomez,Music_QA
what is madonna's occupation,Music_QA
what is madonna's real name,Music_QA
who are miley cyrus' parents,Music_QA
what is mick jagger's religion,Music_QA
who wrote the soundtrack friends,Music_QA
who is steven tyler's daughter,Music_QA
who are the members of florence and the machines,Music_QA
where is nicki minaj from,Music_QA
When is Steven's birthday,Music_QA
When is Madonna's birthday,Music_QA
when was mick jagger born,Music_QA
When is Jimi's birthday,Music_QA
what are rihanna's labels,Music_QA
Nicki Minaj's birthday,Music_QA
where was cardi b born,Music_QA
"When is Hendrix's birthday
",Music_QA
When is Jimi Hendrix's birthday,Music_QA
"Who sang ""All I Wanna Do""?",Music_QA
What was Luke Combs' first album?,Music_QA
Who are the members of the band Bee Gees?,Music_QA
When was Louis Armstrong born?,Music_QA
Can you help me,Help
Help,Help
Please help,Help
What can I ask about?,Help
What can you do?,Help
"Precondition: Ask Portal to set an alarm or timer.
10 minutes",Alarm
"Precondition: Ask to set an alarm
7am today",Alarm
ask alexa for the time,Meta
ask alexa to tell me the weather,Meta
"
cancel",Meta
"Precondition: Ask the portal for something that needs a contact
John",Meta
"
Jones",Meta
"
Mike Smith",Meta
"Precondition: Have music or a video playing.
pause",Meta
play jazz on alexa,Meta
play taylor swift on spotify on alexa,Meta
"Precondition: Have music or a video paused.
Start",Meta
"Precondition: Have music or a video playing.
stop",Meta
"
the last one",Calling
"
the third one",Calling
"Precondition: Ask for something that will need a confirmation.
yes",Meta
any news?,News
"current news, please",News
Give me recent news,News
I want a news update,News
Show headlines.,News
show the news from newsy,News
What are the headlines?,News
What is in the news?,News
What's in the news?,News
what's the latest news from newsy,News
What's the latest news?,News
Open ABC News,News
Put on a cat,AR_effect
Turn off effect,AR_effect
Give me a cat hat,AR_effect
Stop effect,AR_effect
Make me a wolf,AR_effect
Put a cat on my head,AR_effect
Close effect,AR_effect
new look,AR_effect
Hide effect,AR_effect
show me a funny filter,AR_effect
delete effect,AR_effect
Show me a fun look,AR_effect
Remove effect,AR_effect
make me cute,AR_effect
Cat filter,AR_effect
Random mask,AR_effect
Give me glasses,AR_effect
Show me cat effects,AR_effect
pick an effect for me,AR_effect
Pick a mask for me,AR_effect
give me an effect,AR_effect
give me a mask with glasses,AR_effect
Give me a funny effect,AR_effect
Show me the effects,AR_effect
Start a filter,AR_effect
Add a mask,AR_effect
Make me a cat,AR_effect
Pick effects for me.,AR_effect
I want to be a cat,AR_effect
Open Photobooth,Device
Initiate a WA Call,Device
 cancel call,Device
call jenny smith,Device
end call,Device
hang up,Device
do i have any missed calls,Device
have an incoming call,Device
 hold,Device
ignore,Device
decline,Device
reject call,Device
don't answer,Device
switch calls,Device
wa call going on,Device
 add contact,Device
Be in an ongoing WA audio call,Device
 switch to video call,Device
call jenny smith and david jones,Device
any messages,Device
send a message,Device
send a video message,Device
take a photo,Device
take a video,Device
HP Open FB Watch,Device
HP Open FB Gaming,Device
HP Open FB Live,Device
 HP Setup WhatsApp,Calling
 HP Install WhatsApp,Calling
 HP Install WhatsApp,Calling
 HP Use WhatsApp,Calling
 HP Call Kim on WhatsApp (contact in your WhatsApp contact list),Calling
 HP Make a call to Kim with WhatsApp (contact in your WhatsApp contact list),Calling
 HP Place a WhatsApp call to Chris (contact in your WhatsApp contact list),Calling
 HP Call Faheem Rasheed Najm on WhatsApp (contact in your WhatsApp contact list),Calling
 HP Call Kim on WhatsApp (contact in your WhatsApp contact list),Calling
 HP Call 911,Calling
 HP Call <WA Group>,Calling
 HP Call <Contact: 1st name>,Calling
 HP Call <Contact: 1st name and last name>,Calling
 HP Call <<Contact: 1st and last name>>,Calling
" User: John Smith <<The first one, etc. >>",Calling
" User: HP Call John 
",Calling
 HP Cancel <<any time during the placing of the call>>,Calling
 HP Cancel call <<any time during the placing of the call>>,Calling
 HP Hang up the call <<any time after call connected>>,Calling
HP Hang up <<any time after call connected>>,Calling
 HP Answer,Calling
 HP Answer the call,Calling
HP Pick up the call,Calling
I wanna call [firstname] on whatsapp.,Calling
I wanna call [firstname] [lastname] on whatsapp.,Calling
Connect me to [firstname] on whatsapp.,Calling
 HP Decline,Calling
" HP call <contact> on WhatsApp
 HP Hang up",Calling
 Hp Call Kim on WhatsApp,Calling
HP Call Adalie on WhatsApp,Calling
" HP Call Adalie on WhatsApp
",Calling
HP Call Nemo on WhatsApp,Calling
" HP Call John on WhatsApp
",Calling
" HP Call John on WhatsApp
 Say First one/Second one"" in disamb screen",Calling
"
 HP Call John on WhatsApp
",Calling
" HP Call John on WhatsApp
",Calling
 HP open FB Watch,Calling
 HP Not now,Calling
 HP Cancel,Calling
" HP, Answer call - It asks user to tap on screen. (tap the End and Join button)",Calling
" HP, End call and join",Calling
" HP, Call <Contact> on WhatsApp.",Calling
 HP Call Kim on Whats app ( Kim is a WA contact for User2),Calling
 HP Call kim on WhatsApp,Calling
 HP Call Contact,Calling
" HP, What time is it?
 HP, Call Kim on WhatsApp",Calling
 HP Call James on Whats app,Calling
" HP call John on WhatsApp
",Calling
" HP call Adalie on Whatsapp
",Calling
"""Hey Portal, make a call on whatsapp"", disable wifi after 'call who' question
",Calling
1 - HP Help,Help
2 - HP What Can you do,Help
6 - **Touch Back** away from the Help Card 'Calling',Help
7 - Touch help Card 'Device Controls',Help
8 - **Touch Back** away from the Help Card 'Device Controls',Help
11 - Touch help Card 'Timers',Help
12 - **Touch Back** away from the Help Card 'Timers',Help
13 - Touch help Card 'Time & Date',Help
14 - **Touch Back** away from the Help Card 'Time & Date',Help
15 - Touch help Card 'Alarms',Help
16 - **Touch Back** away from the Help Card 'Alarms',Help
19 - Touch help Card 'Weather',Help
20 - **Touch Back** away from the Help Card 'Weather',Help
21 - Touch help Card 'Web browsing',Help
22 - **Touch Back** away from the Help Card 'Web browsing',Help
23 - **Say** an utterance from 'Calling domain' help card,Help
24 - **Say** an utterance from 'Device Controls' help card,Help
25 - **Say** an utterance from 'Timers' help card,Help
26 - **Say** an utterance from 'Time & Date' help card,Help
27 - **Say** an utterance from 'Alarms' help card,Help
28 - **Say** an utterance from 'Weather' help card,Help
30 - **Say** an utterance from 'Web browsing' help card,Help
"31 - **HP What can you do?**
",Help
**Pre-condition**: Portal Screen in PORTRAIT Mode,Help
32 - **HP Help**,Help
33 - **HP What Can you do**,Help
34 - **HP Show me the help screen**,Help
35 - **HP Show me what you can do**,Help
36 - Touch help Card 'Calling',Help
37 - **Touch Back** away from the Help Card 'Calling',Help
38 - Touch help Card 'Device Controls',Help
39 - **Touch Back** away from the Help Card 'Device Controls',Help
40 - Touch help Card 'Music',Help
41 - **Touch Back** away from the Help Card 'Music',Help
42 - Touch help Card 'Timers',Help
43 - **Touch Back** away from the Help Card 'Timers',Help
44 - Touch help Card 'Time & Date',Help
45 - **Touch Back** away from the Help Card 'Time & Date',Help
46 - Touch help Card 'Alarms',Help
47 - **Touch Back** away from the Help Card 'Alarms',Help
48. - Touch help Card 'Effects',Help
49 - **Touch Back** away from the Help Card 'Effects',Help
50 - Touch help Card 'Weather',Help
51 - **Touch Back** away from the Help Card 'Weather',Help
52 - Touch help Card 'Web browsing',Help
53 - **Touch Back** away from the Help Card 'Web browsing',Help
"
 ""Hey Portal, join a room""",Assistant_messenger
"
 ""Hey Portal, join [room name]""",Assistant_messenger
"
 ""Hey Portal, join Spiffy Wizzbang Room""",Assistant_messenger
"
 From Ambient, IE not logged in: ""Hey Portal, join [room name]""
",Assistant_messenger
"
 ""Hey Portal, leave [room name for a room that doesn't exist] room""",Assistant_messenger
"
 ""Hey Portal, leave room""",Assistant_messenger
"
 ""Hey Portal, leave room.""",Assistant_messenger
"
 ""Hey Portal, end room.""",Assistant_messenger
"
 ""Hey Portal, end room.""",Assistant_messenger
What's your mother's name?,Video_Messaging
video message who?,Video_Messaging
Send a video message,Video_Messaging
Record a video message,Video_Messaging
Sending Video message to Martin Hawkins,Video_Messaging
video message who?,Video_Messaging
Send a Video message to Nicolas Flinta to call me,Video_Messaging
Send a video message to Mom,Video_Messaging
What's your fahter's name?,Video_Messaging
Send a video message to mom to buy eggs,Video_Messaging
Who is your mom?,Video_Messaging
